Holiday,CountryFilter,City,Country,Link
December Holidays,Mexico,Orlando FL,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKvhAxLmWUAlNh4N4GfyTolCtMxIQ:1563967820520%22,%22fort+de+france%22,%22/m/018bvl%22%5D&tcfs=&dest_mid=/m/0ply0#dest_mid=/m/0ply0&tcfs=EhMKCC9tLzBwbHkwEgdPcmxhbmRv"
December Holidays,Mexico,Havana,Cuba,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKvhAxLmWUAlNh4N4GfyTolCtMxIQ:1563967820520%22,%22fort+de+france%22,%22/m/018bvl%22%5D&tcfs=&dest_mid=/m/0d6hn#dest_mid=/m/0d6hn&tcfs=EhIKCC9tLzBkNmhuEgZIYXZhbmE"
December Holidays,Mexico,Vancouver,Canada,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKvhAxLmWUAlNh4N4GfyTolCtMxIQ:1563967820520%22,%22fort+de+france%22,%22/m/018bvl%22%5D&tcfs=&dest_mid=/m/080h2#dest_mid=/m/080h2&tcfs=EhUKCC9tLzA4MGgyEglWYW5jb3V2ZXI"
December Holidays,Colombia,San Andrés Island,Colombia,"https://www.google.com/travel/guide?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=EhUKCC9tLzA4MGgyEglWYW5jb3V2ZXI&dest_mid=/m/09gmd9f#dest_mid=/m/09gmd9f&tcfs=EhkKCi9tLzA5Z21kOWYSC1NhbiBBbmRyw6lz"
December Holidays,Colombia,Cartagena,Colombia,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=&dest_mid=/m/0h45n#dest_mid=/m/0h45n&tcfs=EhUKCC9tLzBoNDVuEglDYXJ0YWdlbmE"
December Holidays,Colombia,Santa Marta,Colombis,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=&dest_mid=/m/02nslc#dest_mid=/m/02nslc&tcfs=EhgKCS9tLzAybnNsYxILU2FudGEgTWFydGE"
December Holidays,Colombia,Cancún,Mexico,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/01q98m#dest_mid=/m/01q98m&tcfs=EhQKCS9tLzAxcTk4bRIHQ2FuY8O6bg"
December Holidays,Colombia,Miami FL,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0f2v0#dest_mid=/m/0f2v0&tcfs=EhEKCC9tLzBmMnYwEgVNaWFtaQ"
December Holidays,Argentina,Rio de Janerio,Brazil,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIIdwjAs0dTsZ8v60mB6SPVZbl-Z5w:1563972608075%22,%22san+andres+island%22,%22/m/080h2%22%5D&tcfs=&dest_mid=/m/06gmr#dest_mid=/m/06gmr&tcfs=EhoKCC9tLzA2Z21yEg5SaW8gZGUgSmFuZWlybw"
December Holidays,Argentina,Cancún,Mexico,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/01q98m#dest_mid=/m/01q98m&tcfs=EhQKCS9tLzAxcTk4bRIHQ2FuY8O6bg"
